"郵便番号（7桁）","","導管事業者名","都道府県名","市区町村名","町域名","市区町村名","町域名","導管事業者ID","契約プランID","契約プラン名","託送供給契約約款区分","料金地区区分コード","備考"
"3020123","302-0123","東部ガス","茨城県","守谷市","乙子","モリヤシ","オトゴ","2","1","プレミアム10+プラン","","",""
"3020125","302-0125","東部ガス","茨城県","守谷市","高野","モリヤシ","コウヤ","2","1","プレミアム10+プラン","","",""
"3020109","302-0109","東部ガス","茨城県","守谷市","本町","モリヤシ","ホンチョウ","2","1","プレミアム10+プラン","","",""
"3370026","337-0026","東京ガス","埼玉県","さいたま市見沼区","染谷","サイタマシミヌマク","ソメヤ","1","2","プレミアム5+プラン","","",""
"3390077","339-0077","東京ガス","埼玉県","さいたま市岩槻区","馬込","サイタマシイワツキク","マゴメ","1","2","プレミアム5+プラン","","",""
"3470033","347-0033","鷲宮ガス","埼玉県","加須市","下高柳","カゾシ","シモタカヤナギ","4","1","プレミアム10+プラン","","",""
"3470044","347-0044","鷲宮ガス","埼玉県","加須市","礼羽","カゾシ","ライハ","4","1","プレミアム10+プラン","","",""
"3650041","365-0041","東京ガス","埼玉県","鴻巣市","小松","コウノスシ","コマツ","1","2","プレミアム5+プラン","","",""
"3650043","365-0043","東京ガス","埼玉県","鴻巣市","原馬室","コウノスシ","ハラマムロ","1","2","プレミアム5+プラン","","",""
"3650042","365-0042","東京ガス","埼玉県","鴻巣市","松原","コウノスシ","マツバラ","1","2","プレミアム5+プラン","","",""
"3430807","343-0807","東京ガス","埼玉県","越谷市","赤山町","コシガヤシ","アカヤマチョウ","1","2","プレミアム5+プラン","","",""
"3430808","343-0808","東京ガス","埼玉県","越谷市","赤山本町","コシガヤシ","アカヤマホンチョウ","1","2","プレミアム5+プラン","","",""
"3430826","343-0826","東京ガス","埼玉県","越谷市","東町","コシガヤシ","アズマチョウ","1","2","プレミアム5+プラン","","",""
"3430831","343-0831","東京ガス","埼玉県","越谷市","伊原","コシガヤシ","イハラ","1","2","プレミアム5+プラン","","",""
"3430025","343-0025","東京ガス","埼玉県","越谷市","大沢","コシガヤシ","オオサワ","1","2","プレミアム5+プラン","","",""
"3430031","343-0031","東京ガス","埼玉県","越谷市","大里","コシガヤシ","オオザト","1","2","プレミアム5+プラン","","",""
"3430005","343-0005","東京ガス","埼玉県","越谷市","大杉","コシガヤシ","オオスギ","1","2","プレミアム5+プラン","","",""
"3430034","343-0034","東京ガス","埼玉県","越谷市","大竹","コシガヤシ","オオタケ","1","2","プレミアム5+プラン","","",""
"3430044","343-0044","東京ガス","埼玉県","越谷市","大泊","コシガヤシ","オオドマリ","1","2","プレミアム5+プラン","","",""
"3430021","343-0021","東京ガス","埼玉県","越谷市","大林","コシガヤシ","オオバヤシ","1","2","プレミアム5+プラン","","",""
"3430027","343-0027","東京ガス","埼玉県","越谷市","大房","コシガヤシ","オオフサ","1","2","プレミアム5+プラン","","",""
"3430844","343-0844","東京ガス","埼玉県","越谷市","大間野町","コシガヤシ","オオマノチョウ","1","2","プレミアム5+プラン","","",""
"3430035","343-0035","東京ガス","埼玉県","越谷市","大道","コシガヤシ","オオミチ","1","2","プレミアム5+プラン","","",""
"3430033","343-0033","東京ガス","埼玉県","越谷市","恩間","コシガヤシ","オンマ","1","2","プレミアム5+プラン","","",""
"3430037","343-0037","東京ガス","埼玉県","越谷市","恩間新田","コシガヤシ","オンマシンデン","1","2","プレミアム5+プラン","","",""
"3430043","343-0043","東京ガス","埼玉県","越谷市","上間久里","コシガヤシ","カミマクリ","1","2","プレミアム5+プラン","","",""
"3430838","343-0838","東京ガス","埼玉県","越谷市","蒲生","コシガヤシ","ガモウ","1","2","プレミアム5+プラン","","",""
"3430843","343-0843","東京ガス","埼玉県","越谷市","蒲生茜町","コシガヤシ","ガモウアカネチョウ","1","2","プレミアム5+プラン","","",""
"3430842","343-0842","東京ガス","埼玉県","越谷市","蒲生旭町","コシガヤシ","ガモウアサヒチョウ","1","2","プレミアム5+プラン","","",""
"3430834","343-0834","東京ガス","埼玉県","越谷市","蒲生愛宕町","コシガヤシ","ガモウアタゴチョウ","1","2","プレミアム5+プラン","","",""
"3430836","343-0836","東京ガス","埼玉県","越谷市","蒲生寿町","コシガヤシ","ガモウコトブキチョウ","1","2","プレミアム5+プラン","","",""
"3430841","343-0841","東京ガス","埼玉県","越谷市","蒲生東町","コシガヤシ","ガモウヒガシチョウ","1","2","プレミアム5+プラン","","",""
"3430835","343-0835","東京ガス","埼玉県","越谷市","蒲生西町","コシガヤシ","ガモウニシマチ","1","2","プレミアム5+プラン","","",""
"3430833","343-0833","東京ガス","埼玉県","越谷市","蒲生南町","コシガヤシ","ガモウミナミチョウ","1","2","プレミアム5+プラン","","",""
"3430837","343-0837","東京ガス","埼玉県","越谷市","蒲生本町","コシガヤシ","ガモウホンチョウ","1","2","プレミアム5+プラン","","",""
"3430827","343-0827","東京ガス","埼玉県","越谷市","川柳町","コシガヤシ","カワヤナギチョウ","1","2","プレミアム5+プラン","","",""
"3430821","343-0821","東京ガス","埼玉県","越谷市","瓦曽根","コシガヤシ","カワラゾネ","1","2","プレミアム5+プラン","","",""
"3430854","343-0854","東京ガス","埼玉県","越谷市","北後谷","コシガヤシ","キタウシロヤ","1","2","プレミアム5+プラン","","",""
"3430006","343-0006","東京ガス","埼玉県","越谷市","北川崎","コシガヤシ","キタカワサキ","1","2","プレミアム5+プラン","","",""
"3430026","343-0026","東京ガス","埼玉県","越谷市","北越谷","コシガヤシ","キタコシガヤ","1","2","プレミアム5+プラン","","",""
"3430024","343-0024","東京ガス","埼玉県","越谷市","越ケ谷","コシガヤシ","コシガヤ","1","2","プレミアム5+プラン","","",""
"3430813","343-0813","東京ガス","埼玉県","越谷市","越ケ谷","コシガヤシ","コシガヤ","1","2","プレミアム5+プラン","","",""
"3430818","343-0818","東京ガス","埼玉県","越谷市","越ケ谷本町","コシガヤシ","コシガヤホンチョウ","1","2","プレミアム5+プラン","","",""
"3430811","343-0811","東京ガス","埼玉県","越谷市","御殿町","コシガヤシ","ゴテンチョウ","1","2","プレミアム5+プラン","","",""
