"確認済","","都道府県","市区","町村等","電力会社電話番号","水道局問い合わせ先","水道局電話番号","受付時間","定休日","ＨＰ","","","",""
"済","1852","東京都","あきる野市","","0120-995-661","水道局多摩お客さまセンター","0570-091-100","平日～土曜8：30～20：00","日・祝日","https://www.waterworks.metro.tokyo.jp/tetsuduki/madoguchi/center_tama.html","","","",""
"済","2333","愛知県","あま市","七宝町沖之島","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2334","愛知県","あま市","七宝町遠島","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2335","愛知県","あま市","七宝町安松","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2336","愛知県","あま市","七宝町秋竹","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2337","愛知県","あま市","七宝町桂","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2338","愛知県","あま市","七宝町下田","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2339","愛知県","あま市","七宝町川部","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2340","愛知県","あま市","七宝町伊福","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2341","愛知県","あま市","七宝町下之森","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2342","愛知県","あま市","七宝町徳実","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2343","愛知県","あま市","七宝町鷹居","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2344","愛知県","あま市","七宝町鯰橋","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2345","愛知県","あま市","二ツ寺","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2346","愛知県","あま市","東溝口","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2347","愛知県","あま市","花正","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2348","愛知県","あま市","花長","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2349","愛知県","あま市","木折","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
"済","2350","愛知県","あま市","富塚","0120-985-721","あま市上水道課","052-441-7119","8：30～17:15","土・日・祝","https://www.city.ama.aichi.jp/kurashi/kankyo/jyousui/index.html","","","",""
